Date_mutation,Nature_mutation,Valeur_fonciere,No_voie,Type_de_voie,Voie,Code_postal,Commune,Code_departement,Code commune,Section,Type_local,Surface_reelle_bati,Nombre_pieces_principales,Nature_culture,Surface_terrain
2019-07-25,Vente,237400.0,56.0,RUE,DU CHATEAU DE LA COTE,62219.0,LONGUENESSE,62,525,AW,Maison,79.0,4.0,AG,977.0
2019-05-09,Vente,52000.0,13.0,RLE,DU PORT,62630.0,ETAPLES,62,318,AB,Maison,35.0,1.0,S,75.0
2019-01-18,Vente,110000.0,3.0,RUE,DU MOULIN,51150.0,ATHIS,51,18,AB,Maison,57.0,3.0,S,245.0
2019-03-15,Vente,150000.0,10.0,RUE,YVES BRISSON,44118.0,CHEVROLIERE (LA),44,41,AA,Maison,53.0,2.0,S,131.0
2019-02-04,Vente,126600.0,6.0,AV,POINCARE,3200.0,VICHY,3,310,AP,Maison,107.0,5.0,S,547.0
2019-09-02,Vente,269000.0,8.0,RUE,DES PASSEREAUX,56450.0,SURZUR,56,248,WL,Maison,109.0,4.0,S,475.0
2019-01-11,Vente,890000.0,4.0,ALL,BIGNON,78590.0,NOISY LE ROI,78,455,AK,Maison,275.0,6.0,AG,1111.0
2019-04-30,Vente,1206500.0,9.0,RUE,JULES HERBAUT,59830.0,CYSOING,59,168,AP,Maison,84.0,3.0,S,1568.0
2019-11-18,Vente,46875.0,5238.0,RUE,DU SALLET,30126.0,LIRAC,30,149,C,Maison,90.0,4.0,S,746.0
2019-03-15,Vente,128000.0,54.0,RUE,D ECTOT,76460.0,SAINT-VALERY-EN-CAUX,76,655,AD,Maison,85.0,3.0,S,65.0
2019-02-28,Vente,460000.0,1.0,RUE,DE PELLAN,44350.0,GUERANDE,44,69,AK,Appartement,36.0,1.0,S,146.0
2019-04-08,Vente,90000.0,5342.0,AV,DU DOCTEUR GERARD MONTUS,13620.0,CARRY-LE-ROUET,13,21,AS,Maison,30.0,2.0,S,1066.0
2019-11-29,Vente,168000.0,9007.0,CHE,DU MAS BONNET,30000.0,NIMES,30,189,AK,Maison,90.0,7.0,VE,1210.0
2019-05-17,Vente,130000.0,9.0,CHEM,DES CAILLARDIERES,49460.0,SOULAIRE-ET-BOURG,49,339,ZN,Maison,80.0,3.0,AG,1967.0
2019-09-25,Vente,145000.0,5.0,,LE MONTCEL,77510.0,VERDELOT,77,492,X,Maison,112.0,4.0,S,79.0
2019-12-23,Vente,400000.0,9002.0,,LE BATIMENT,49160.0,LONGUE-JUMELLES,49,180,G,Maison,69.0,2.0,S,3207.0
2019-10-23,Vente,68000.0,26.0,CHE,DU BRIOU,18100.0,VIERZON,18,279,BS,Maison,65.0,4.0,S,406.0
2019-06-13,Vente,92000.0,2.0,RUE,DES CONSTELLATIONS,85180.0,SABLES-D'OLONNE (LES),85,194,AW,Maison,24.0,2.0,S,108.0
2019-07-25,Vente,202000.0,9000.0,,MAUPERTUIS,86600.0,COULOMBIERS,86,83,ZP,Maison,120.0,5.0,S,1010.0
2019-03-29,Vente,520000.0,169.0,RUE,JULES GALLOIS,59720.0,LOUVROIL,59,365,AI,Maison,44.0,2.0,S,69.0
2019-12-07,Vente,120000.0,116.0,RUE,DE LA TAVIANE ST L,88000.0,EPINAL,88,160,CS,Maison,90.0,5.0,S,500.0
2019-08-02,Vente,109500.0,17.0,RUE,DU QUAI,30800.0,ST GILLES,30,258,N,Maison,60.0,1.0,S,49.0
